J43500|USTF0002H|C31F:0 C41F:5 C41TXN1F:22 
J42045|USTC0006|C31F:0 C41F:7 C4113F:22 
J43510|USTF0001H|C31F:0 C3111F:3 C3111FPK:23 C41F:5 C41TXN1F:23 
J31113|USTC0002PR|C31F:0 C3111F:1 C3111FPR:10 
J4242|U0002|C31F:0 C3111F:3 C3111FPK:23 C41F:5 C41TXN1F:2 
J43500|USTF0002PC|C31F:0 C41F:5 C41TXN1F:12 C41TXN3FPC:4 
J31114|USTF0002|C31F:0 C3111F:11 C3111FDF:8 
J4312|U0003FPC|C31F:0 C3111F:3 C3111FPK:23 C41F:5 C41TXN1F:12 C41TXN3FPC:6 
J41240|U0003F|C31F:0 C41F:9 C4121F:18 
J4114|U0013B|C31F:0 C3111F:1 C3111FPR:12 C41TXN1F:10 
J42045|USTF0001|C31F:0 C41F:5 C41TXN1F:8 
J4312|U0003|C31F:0 C41F:5 C41TXN1F:18 
J3114|USTF0001R|C31F:0 C3111F:11 C3111FDF:12 C3115FDF:3 
J4112|U0002|C31F:0 C41F:3 C41TXN:6 
J3114|USTF0001|C31F:0 C3111F:5 C3115F:3 
J4114|U0008|C31F:0 C41F:3 C41TXN:19 
J4113|U0001|C31F:0 C3111F:5 C3115F:15 C43PA3F:12 
J4116|U0004|C31F:0 C3111F:3 C3111FPK:23 C41F:3 C41TXN:20 
J4112|U1111|C31F:0 C41F:3 C41TXN:7 
J41026|U0001|C31F:0 C3111F:3 C3111FPK:23 C41F:1 
J41240|U0001F|C31F:0 C41F:9 C4121F:14 
J4116|U0099|C31F:0 C3111F:3 C3111FPK:23 C41F:3 C41TXN:12 
J43510|USTF0001|C31F:0 C3111F:3 C3111FPK:23 C41F:5 C41TXN1F:17 
J4112|U0003|C31F:0 C41F:3 C41TXN:5 
J4114|U0007|C31F:0 C3111F:3 C3111FPK:23 C41F:3 C41TXN:15 
J41240|U0003F|C31F:0 C3111F:3 C3111FPK:23 C41F:9 C4121F:18 
J4242|U0002|C31F:0 C3111F:1 C3111FPR:12 C41TXN1F:2 
J4114|U0006|C31F:0 C3111F:3 C3111FPK:23 C41F:3 C41TXN:16 
J4141|U0001|C31F:0 C3111F:3 C3111FPK:23 C41F:9 C4121F:16 
J4114|U0008|C31F:0 C3111F:3 C3111FPK:24 C3121FPACK:23 
J3114|USTF0001|C31F:0 C3111F:11 C3111FDF:12 C3115FDF:12 
J43500|USTF0002|C31F:0 C3111F:1 C3111FPR:12 C41TXN1F:16 
J42045|USTF0001|C31F:0 C3111F:1 C3111FPR:12 C41TXN1F:8 
J4112|U0004|C31F:0 C3111F:3 C3111FPK:24 C3121FPACK:21 
J4112|U3333|C31F:0 C41F:3 C41TXN:24 
J43500|USTF0002H|C31F:0 C3111F:1 C3111FPR:12 C41TXN1F:22 
J4113|U0001|C31F:0 C3111F:3 C3111FPK:23 C41F:3 C41TXN:10 
J4116|U0099|C31F:0 C41F:3 C41TXN:12 
J4114|U0009|C31F:0 C41F:3 C41TXN:17 
J43510|USTF0001PC|C31F:0 C3111F:3 C3111FPK:23 C41F:5 C41TXN1F:12 C41TXN3FPC:5 
J4113|U0001|C31F:0 C3111F:5 C3115F:14 
J4114|U0009|C31F:0 C3111F:3 C3111FPK:23 C41F:3 C41TXN:17 
J43510|USTF0001|C31F:0 C3111F:1 C3111FPR:12 C41TXN1F:17 
J4312|USTF0002NQ|C31F:0 C3111F:5 C3115F:15 C43PA3F:7 
J31114|USTF0001|C31F:0 C3111F:3 C3111FPK:8 
J31114|USTF0002|C31F:0 C3111F:1 C3111FPR:9 
J43510|USTF0001PC|C31F:0 C41F:5 C41TXN1F:12 C41TXN3FPC:5 
J4242|U0002|C31F:0 C41F:5 C41TXN1F:2 
J42045|USTC0001|C31F:0 C3111F:3 C3111FPK:23 C41F:23 
J4112|U0001|C31F:0 C41F:3 C41TXN:4 
J4112|U1111A|C31F:0 C3111F:3 C3111FPK:23 C41F:3 C41TXN:3 
J4112|U0004|C31F:0 C41F:3 C41TXN:9 
J4114|U0006|C31F:0 C3111F:3 C3111FPK:24 C3121FPACK:17 
J4114|U0013|C31F:0 C3111F:3 C3111FPK:23 C41F:5 C41TXN1F:9 
J4112|U4444|C31F:0 C3111F:3 C3111FPK:23 C41F:3 C41TXN:22 
J4114|U0013B|C31F:0 C41F:5 C41TXN1F:10 
J4114|U0005|C31F:0 C41F:3 C41TXN:13 
J4312|U0003FPC|C31F:0 C3111F:1 C3111FPR:12 C41TXN1F:12 C41TXN3FPC:6 
J4116|U0009|C31F:0 C3111F:3 C3111FPK:23 C41F:3 C41TXN:2 
J4312|U0003B|C31F:0 C3111F:3 C3111FPK:23 C41F:5 C41TXN1F:24 
J41026|U0001|C31F:0 C41F:1 
J4312|U0003B|C31F:0 C3111F:1 C3111FPR:12 C41TXN1F:24 
J4114|U0013|C31F:0 C3111F:1 C3111FPR:12 C41TXN1F:9 
J31113|USTC0002|C31F:0 C3111F:3 C3111FPK:9 
J4112|U0001|C31F:0 C3111F:3 C3111FPK:23 C41F:3 C41TXN:4 
J43510|USTF0001H|C31F:0 C41F:5 C41TXN1F:23 
J31113|USTF0001|C31F:0 C3111F:11 C3111FDF:9 
J4114|U0005|C31F:0 C3111F:3 C3111FPK:24 C3121FPACK:14 
J4242|U0002BF|C31F:0 C3111F:3 C3111FPK:23 C41F:5 C41TXN1F:3 
J4112|U0002|C31F:0 C3111F:3 C3111FPK:24 C3121FPACK:22 
J3114|USTF0001R|C31F:0 C3111F:9 C3115FDF:3 
J43510|USTF0001PC|C31F:0 C3111F:1 C3111FPR:12 C41TXN1F:12 C41TXN3FPC:5 
J43500|USTF0002PC|C31F:0 C3111F:3 C3111FPK:23 C41F:5 C41TXN1F:12 C41TXN3FPC:4 
J4112|U3333|C31F:0 C3111F:3 C3111FPK:24 C3121FPACK:18 
J4112|U4444|C31F:0 C41F:3 C41TXN:22 
J4114|U0016|C31F:0 C41F:3 C41TXN:8 
J4114|U0008|C31F:0 C3111F:3 C3111FPK:23 C41F:3 C41TXN:19 
J4312|USTF0001AQ|C31F:0 C3111F:5 C3115F:15 C43PA3F:5 
J4114|U0016|C31F:0 C3111F:3 C3111FPK:23 C41F:3 C41TXN:8 
J43500|USTF0002|C31F:0 C41F:5 C41TXN1F:16 
J41240|U0001F|C31F:0 C3111F:3 C3111FPK:23 C41F:9 C4121F:14 
J4114|U0014|C31F:0 C41F:3 C41TXN:21 
J4112|U2222|C31F:0 C3111F:3 C3111FPK:23 C41F:3 C41TXN:23 
J4116|U0009|C31F:0 C41F:3 C41TXN:2 
J43510|USTF0001H|C31F:0 C3111F:1 C3111FPR:12 C41TXN1F:23 
J4141|U0001|C31F:0 C41F:9 C4121F:16 
J3114|USTF0001|C31F:0 C3111F:9 C3115FDF:12 
J4112|U1111|C31F:0 C3111F:3 C3111FPK:24 C3121FPACK:20 
J42045|USTF0001|C31F:0 C3111F:3 C3111FPK:23 C41F:5 C41TXN1F:8 
J4114|U0007|C31F:0 C41F:3 C41TXN:15 
J4112|U1111|C31F:0 C3111F:3 C3111FPK:23 C41F:3 C41TXN:7 
J4114|U0005|C31F:0 C3111F:3 C3111FPK:23 C41F:3 C41TXN:13 
J4242|U0002BF|C31F:0 C3111F:1 C3111FPR:12 C41TXN1F:3 
J4112|U0004|C31F:0 C3111F:3 C3111FPK:23 C41F:3 C41TXN:9 
J4112|U0010|C31F:0 C41F:3 C41TXN:11 
J43500|USTF0002PC|C31F:0 C3111F:1 C3111FPR:12 C41TXN1F:12 C41TXN3FPC:4 
J4112|U0010|C31F:0 C3111F:3 C3111FPK:23 C41F:3 C41TXN:11 
J4112|U1111A|C31F:0 C41F:3 C41TXN:3 
J4113|U0002|C31F:0 C3111F:3 C3111FPK:23 C41F:3 C41TXN:1 
J43510|USTF0001|C31F:0 C41F:5 C41TXN1F:17 
J4312|U0003|C31F:0 C3111F:1 C3111FPR:12 C41TXN1F:18 
J4116|U0004|C31F:0 C3111F:5 C3115F:17 
J4112|U0003|C31F:0 C3111F:3 C3111FPK:24 C3121FPACK:16 
J43500|USTF0002|C31F:0 C3111F:3 C3111FPK:23 C41F:5 C41TXN1F:16 
J4114|U0016|C31F:0 C3111F:1 C3111FPR:17 
J4112|U2222|C31F:0 C41F:3 C41TXN:23 
J4312|USTF0001PQ|C31F:0 C3111F:5 C3115F:15 C43PA3F:4 
J4116|U0004|C31F:0 C3111F:3 C3111FPK:24 C3121FPACK:15 
J4312|U0003FPC|C31F:0 C41F:5 C41TXN1F:12 C41TXN3FPC:6 
J4116|U0004|C31F:0 C41F:3 C41TXN:20 
J4312|USTF0004NQ|C31F:0 C3111F:5 C3115F:15 C43PA3F:6 
J4114|U0010|C31F:0 C3111F:3 C3111FPK:23 C41F:3 C41TXN:14 
J4112|U0003|C31F:0 C3111F:3 C3111FPK:23 C41F:3 C41TXN:5 
J43500|USTF0002H|C31F:0 C3111F:3 C3111FPK:23 C41F:5 C41TXN1F:22 
J4312|U0003|C31F:0 C3111F:3 C3111FPK:23 C41F:5 C41TXN1F:18 
J4113|U0001|C31F:0 C41F:3 C41TXN:10 
J4312|USTF0001NQ|C31F:0 C3111F:5 C3115F:15 C43PA3F:2 
J4242|U0002BF|C31F:0 C41F:5 C41TXN1F:3 
J4112|U0002|C31F:0 C3111F:3 C3111FPK:23 C41F:3 C41TXN:6 
J4114|U0010|C31F:0 C41F:3 C41TXN:14 
J4114|U0013B|C31F:0 C3111F:3 C3111FPK:23 C41F:5 C41TXN1F:10 
J4114|U0006|C31F:0 C41F:3 C41TXN:16 
J4312|U0003B|C31F:0 C41F:5 C41TXN1F:24 
J42045|USTC0001|C31F:0 C41F:23 
J4114|U0013|C31F:0 C41F:5 C41TXN1F:9 
J4312|USTF0003NQ|C31F:0 C3111F:5 C3115F:15 C43PA3F:3 
J4114|U0014|C31F:0 C3111F:3 C3111FPK:24 C3121FPACK:19 
J4112|U3333|C31F:0 C3111F:3 C3111FPK:23 C41F:3 C41TXN:24 
J4114|U0014|C31F:0 C3111F:3 C3111FPK:23 C41F:3 C41TXN:21 
J3114|USTF0001|C31F:0 C3111F:3 C3111FPK:22 
J42045|USTC0006|C31F:0 C3111F:3 C3111FPK:23 C41F:7 C4113F:22 
J4113|U0002|C31F:0 C41F:3 C41TXN:1 
